numar_factura,data
2410004139,1/25/2024
2410004144,1/25/2024
2410004145,1/25/2024
2410004146,1/25/2024
2410004151,1/25/2024
2410004158,1/25/2024
2410004162,1/25/2024
2410004171,1/25/2024
2410004173,1/25/2024
2410004180,1/25/2024
2410004185,1/25/2024
2410004186,1/25/2024
2410004194,1/25/2024
2410004204,1/25/2024
2410004208,1/25/2024
2410004209,1/25/2024
2410004212,1/25/2024
2410004213,1/25/2024
2410004214,1/25/2024
2410004218,1/25/2024
2410004220,1/26/2024
2410004245,1/26/2024
2410004246,1/26/2024
2410004247,1/26/2024
2410004249,1/26/2024
2410004250,1/26/2024
2410004251,1/26/2024
2410004254,1/26/2024
2410004264,1/26/2024
2410004270,1/26/2024
2410004271,1/26/2024
2410004277,1/26/2024
2410004278,1/26/2024
2410004282,1/26/2024
2410004283,1/26/2024
2410004284,1/26/2024
2410004288,1/26/2024
2410004291,1/26/2024
2410004292,1/26/2024
2410004298,1/26/2024
2410004299,1/26/2024
2410004301,1/26/2024
2410004319,1/26/2024
2410004325,1/26/2024
2410004326,1/26/2024
2410004331,1/26/2024
2410004335,1/26/2024
2410004337,1/26/2024
2410004344,1/26/2024
2410004345,1/26/2024
2410004355,1/26/2024
2410004356,1/26/2024
2410004361,1/26/2024
2410004364,1/26/2024
2410004371,1/26/2024
2410004375,1/26/2024
2410004376,1/26/2024
2410004383,1/26/2024
2410004387,1/26/2024
2410004389,1/26/2024
2410004406,1/26/2024
2410004409,1/26/2024
2410004410,1/26/2024
2410004420,1/26/2024
2410004424,1/26/2024
2410004428,1/26/2024
2410004433,1/26/2024
2410004439,1/26/2024
2410004440,1/26/2024
2410004447,1/26/2024
2410004448,1/26/2024
2410004449,1/26/2024
2410004450,1/26/2024
2410004463,1/26/2024
2410004465,1/26/2024
2410004491,1/27/2024
2410004494,1/27/2024
2410004495,1/27/2024
2410004497,1/27/2024
2410004503,1/29/2024
2410004509,1/29/2024
2410004510,1/29/2024
2410004512,1/29/2024
2410004514,1/29/2024
2410004515,1/29/2024
2410004516,1/29/2024
2410004517,1/29/2024
2410004527,1/29/2024
2410004530,1/29/2024
2410004532,1/29/2024
2410004540,1/29/2024
2410004543,1/29/2024
2410004545,1/29/2024
2410004546,1/29/2024
2410004558,1/29/2024
2410004560,1/29/2024
2410004561,1/29/2024
2410004572,1/29/2024
2410004580,1/29/2024
2410004581,1/29/2024
2410004584,1/29/2024
2410004589,1/29/2024
2410004592,1/29/2024
2410004603,1/29/2024
2410004609,1/29/2024
2410004614,1/29/2024
2410004624,1/29/2024
2410004625,1/29/2024
2410004626,1/29/2024
2410004636,1/29/2024
2410004639,1/29/2024
2410004655,1/29/2024
2410004663,1/29/2024
2410004678,1/29/2024
2410004683,1/29/2024
2410004684,1/29/2024
2410004692,1/29/2024
2410004697,1/29/2024
2410004698,1/29/2024
2410004699,1/29/2024
2410004708,1/29/2024
2410004720,1/29/2024
2410004723,1/29/2024
2410004725,1/29/2024
2410004733,1/29/2024
2410004738,1/29/2024
2410004747,1/29/2024
2410004752,1/29/2024
2410004754,1/29/2024
2410004759,1/29/2024
2410004764,1/29/2024
2410004773,1/29/2024
2410004774,1/29/2024
2410004775,1/29/2024
2410004777,1/29/2024
2410004796,1/29/2024
2410004822,1/29/2024
2410004829,1/29/2024
2410004843,1/29/2024
2410004844,1/29/2024
2410004845,1/29/2024
2410004846,1/29/2024
2410004847,1/29/2024
2410004853,1/30/2024
2410004862,1/30/2024
2410004865,1/30/2024
2410004871,1/30/2024
2410004874,1/30/2024
2410004889,1/30/2024
2410004892,1/30/2024
2410004894,1/30/2024
2410004897,1/30/2024
2410004898,1/30/2024
2410004903,1/30/2024
2410004905,1/30/2024
2410004910,1/30/2024
2410004916,1/30/2024
2410004918,1/30/2024
2410004923,1/30/2024
2410004930,1/30/2024
2410004934,1/30/2024
2410004935,1/30/2024
2410004936,1/30/2024
2410004937,1/30/2024
2410004940,1/30/2024
2410004942,1/30/2024
2410004943,1/30/2024
2410004944,1/30/2024
2410004950,1/30/2024
2410004957,1/30/2024
2410004968,1/30/2024
2410004978,1/30/2024
2410004979,1/30/2024
2410004980,1/30/2024
2410004984,1/30/2024
2410004998,1/30/2024
2410004999,1/30/2024
2410005007,1/30/2024
2410005010,1/30/2024
2410005012,1/30/2024
2410005020,1/30/2024
2410005021,1/30/2024
2410005022,1/30/2024
2410005028,1/30/2024
