numar_factura,numar_comanda,cod_articol,id_cantitate
2410001513,2044200,172132,1||2044200||1||8
2410001513,2044200,1054599,1||2044200||1||13
2410001513,2044200,1615175,1||2044200||1||11
2410001513,2044200,2798123,1||2044200||1||6
2410001513,2044200,3286472,1||2044200||1||10
2410001513,2044200,3286675,1||2044200||1||15
2410001513,2044200,4975890,1||2044200||1||12
2410001520,2043340,2286964,1||2043340||1||2
2410001528,2043832,3240640,1||2043832||1||4
2410001528,2043832,3286123,1||2043832||1||2
2410001528,2043832,3286124,1||2043832||1||1
2410001531,2044449,24050,1||2044449||1||1
2410001550,2038865,1643027,1||2038865||2||1
2410001551,2021661,4984901,1||2021661||3||7
2410001556,2044092,1659007,1||2044092||1||1
2410001558,2044098,2224059,1||2044098||1||1
2410001561,2013540,1612961,1||2013540||1||4
2410001561,2013540,1612962,1||2013540||1||3
2410001568,2044530,1613352,1||2044530||1||3
2410001595,2044166,5023838,1||2044166||1||2
2410001601,2044703,2816376,1||2044703||2||1
2410001604,2044731,2812421,1||2044731||1||1
2410001605,2042336,3239474,1||2042336||1||1
2410001612,2044584,2808721,1||2044584||1||1
2410001613,2044754,7294,1||2044754||1||2
2410001613,2044754,7295,1||2044754||1||1
2410001613,2044754,8591,1||2044754||1||3
2410001615,2044769,1010716,1||2044769||1||3
2410001615,2044769,2238433,1||2044769||1||1
2410001615,2044769,2255500,1||2044769||1||2
2410001617,2044806,2245556,1||2044806||1||2
2410001619,2044237,22958,1||2044237||2||14
2410001619,2044237,22959,1||2044237||2||15
2410001619,2044237,861301,1||2044237||2||3
2410001619,2044237,1621683,1||2044237||2||9
2410001619,2044237,1621684,1||2044237||2||8
2410001619,2044237,4991940,1||2044237||2||7
2410001619,2044237,5752752,1||2044237||2||6
2410001619,2044237,5752752,1||2044237||2||12
2410001619,2044237,5753539,1||2044237||2||1
2410001622,2044306,5031687,1||2044306||3||3
2410001625,2044306,3788887,1||2044306||2||2
2410001626,2044115,1013825,1||2044115||2||2
2410001627,2044129,3752292,1||2044129||1||1
2410001628,2044151,3223947,1||2044151||1||1
2410001631,2044860,5845337,1||2044860||1||1
2410001642,2041400,1595707,1||2041400||5||18
2410001644,2044846,3157135,1||2044846||1||1
2410001657,2044964,2226375,1||2044964||1||1
2410001658,2044958,6494,1||2044958||1||1
2410001658,2044958,9228,1||2044958||1||2
2410001659,2044912,1611545,1||2044912||1||1
2410001664,2044956,4767254,1||2044956||1||1
2410001665,2044782,2307727,1||2044782||1||1
2410001665,2044782,4829520,1||2044782||1||2
2410001675,2045022,1208261,1||2045022||2||1
2410001675,2045022,5038237,1||2045022||2||6
2410001690,2045115,2818841,1||2045115||1||1
2410001718,2042613,2250716,1||2042613||1||1
2410001721,2045123,3102352,1||2045123||1||2
2410001724,2044428,9646,1||2044428||2||7
2410001724,2044428,3793364,1||2044428||2||8
2410001726,2044428,2307717,1||2044428||1||6
2410001726,2044428,2307718,1||2044428||1||4
2410001732,2040224,5820285,1||2040224||4||1
2410001734,2045288,2349392,1||2045288||2||5
2410001734,2045288,3198852,1||2045288||2||3
